Id,GrLivArea,Street,OverallQual,GarageCars,GarageArea,LandSlope,TotRmsAbvGrd,Utilities,FullBath,X1stFlrSF,TotalBsmtSF,age,YearBuilt,YearRemodAdd,Fireplaces,GarageYrBlt,MasVnrArea,LotArea,X2ndFlrSF,BedroomAbvGr,BsmtFinSF1,HalfBath,SalePrice
1250,1609,Pave,6,1,305,Gtl,7,AllPub,1,1068,1000,53,1953,1953,0,1953,0,9525,541,5,468,1,209673.3166
1251,2559,Pave,6,2,506,Gtl,9,AllPub,2,1313,868,17,1989,1989,1,1989,232,12128,1246,4,549,1,205939.8106
1252,1440,Pave,6,4,920,Gtl,8,AllPub,2,1440,1344,13,1993,1993,0,1993,0,9069,0,2,261,0,165633.5733
1253,1876,Pave,7,3,848,Gtl,7,AllPub,2,1308,1308,1,2005,2006,0,2005,0,11003,568,3,0,1,186030.3172
1254,1208,Pave,7,2,632,Gtl,6,AllPub,2,1208,1208,1,2005,2005,0,2005,0,7488,0,2,393,0,160312.3196
1255,1846,Pave,6,2,495,Gtl,7,AllPub,2,1846,1836,0,2006,2006,1,2006,0,13377,0,3,1576,0,190702.4403
1256,1590,Pave,8,3,754,Gtl,6,AllPub,2,1590,1570,1,2005,2006,0,2005,198,11645,0,2,1122,1,175122.8103
1257,1809,Pave,7,2,638,Gtl,8,AllPub,2,945,945,1,2005,2006,0,2005,0,10984,864,3,0,1,183783.1394
1258,1614,Pave,7,2,576,Gtl,7,AllPub,2,1614,1614,1,2005,2005,1,2005,140,9316,0,3,56,0,178290.6663
1259,1596,Pave,7,2,610,Gtl,6,AllPub,2,784,784,1,2005,2005,0,2005,532,9316,812,3,0,1,181605.344
1260,1388,Pave,6,2,522,Gtl,6,AllPub,2,1388,1388,38,1968,1968,1,1968,0,12000,0,3,853,0,187992.4514
1261,1100,Pave,5,2,462,Gtl,5,AllPub,1,1100,1100,10,1996,1996,0,1996,0,13015,0,3,0,1,188885.1178
1262,1499,Pave,6,2,473,Gtl,6,AllPub,2,795,781,11,1995,1995,1,1995,68,12438,704,3,0,1,189959.3448
1263,1425,Pave,7,2,591,Gtl,5,AllPub,2,,1425,8,1998,1998,0,1998,0,8685,0,3,846,0,179258.6192
1264,1749,Pave,7,2,515,Gtl,7,AllPub,2,856,842,7,1999,1999,0,1999,0,9272,893,3,500,1,181518.7503
1265,1779,Pave,7,2,586,Gtl,7,AllPub,2,951,951,7,1999,2000,1,1999,0,13426,828,3,894,1,193008.6592
1266,1388,Pave,6,1,317,Gtl,6,AllPub,1,686,675,29,1977,1977,0,1977,62,8340,702,3,509,1,186313.8939
1267,1282,Pave,6,3,672,Gtl,6,AllPub,2,1282,995,28,1978,1978,0,1989,123,10385,0,3,595,0,181499.3919
1268,864,Pave,5,1,297,Gtl,5,AllPub,1,864,864,34,1972,1972,0,1977,0,7200,0,3,437,0,174126.2972
1269,1762,Pave,7,2,591,Gtl,6,AllPub,2,878,826,4,2002,2002,0,2002,199,9930,884,3,456,1,183918.6121
1270,1755,Pave,6,2,530,Gtl,7,AllPub,2,840,840,7,1999,1999,1,1999,148,9468,915,3,639,1,184114.2709
1271,1358,Pave,8,2,418,Gtl,5,AllPub,1,1358,1348,4,2002,2002,1,2002,0,11088,0,1,872,1,158540.9478
1272,1909,Pave,7,2,529,Gtl,8,AllPub,2,872,872,4,2002,2002,0,2002,0,8726,1037,4,0,1,197034.7591
1273,2214,Pave,8,3,646,Gtl,8,AllPub,2,1090,1090,7,1999,1999,1,1999,261,10566,1124,3,920,1,185170.2845
1274,2049,Pave,7,2,467,Gtl,9,AllPub,2,1065,1065,10,1996,1997,1,1997,0,21533,984,4,0,1,221134.5336
1275,1939,Pave,7,3,555,Gtl,8,AllPub,2,1070,1054,8,1998,1998,1,1998,227,11250,869,3,796,1,184306.6376
1276,1995,Pave,7,2,610,Gtl,8,AllPub,2,950,930,11,1995,1996,1,1995,0,11250,1045,4,685,1,199792.3027
1277,848,Pave,6,2,420,Gtl,4,AllPub,1,848,848,3,2003,2003,0,2003,170,4435,0,1,717,0,143237.8036
1278,1390,Pave,7,2,545,Gtl,7,AllPub,2,1390,1390,3,2003,2003,0,2003,0,8810,0,3,1000,0,177294.8389
1279,1737,Pave,7,2,578,Gtl,7,AllPub,2,851,851,0,2006,2006,0,2006,0,8581,886,3,0,1,182368.6209
1280,1611,Pave,7,2,572,Gtl,6,AllPub,2,784,784,1,2005,2005,0,2005,0,8400,827,3,0,1,176487.9432
1281,1336,Pave,7,2,502,Gtl,6,AllPub,2,1336,1336,1,2005,2006,0,2005,0,8772,0,3,996,0,183849.4088
1282,1436,Pave,4,2,528,Gtl,6,AllPub,2,760,676,96,1910,2000,0,1950,0,8777,676,3,173,0,184964.1415
1283,1012,Pave,6,0,0,Gtl,4,AllPub,2,1012,976,31,1975,1975,0,1979,355,7840,0,4,976,0,196395.9696
1284,1176,Pave,5,1,360,Gtl,5,AllPub,1,1176,1176,37,1969,1969,0,1969,0,16133,0,2,847,0,188374.9367
1285,1724,Pave,7,2,616,Gtl,8,AllPub,2,806,796,3,2003,2004,1,2003,190,7162,918,3,0,1,176261.2968
1286,914,Pave,6,0,0,Gtl,4,AllPub,1,914,914,4,2002,2002,0,1979,0,8050,0,2,475,0,163628.1422
1287,2314,Pave,7,2,502,Gtl,9,AllPub,2,1164,1150,3,2003,2005,1,2003,0,11060,1150,3,0,1,180618.0326
1288,1072,Pave,6,2,525,Gtl,5,AllPub,1,1072,547,1,2005,2006,0,2005,82,3675,0,2,547,0,161647.3298
1289,1709,Pave,7,2,380,Gtl,7,AllPub,2,970,970,2,2004,2004,0,2004,50,2522,739,3,0,0,167129.5989
1290,936,Pave,4,1,265,Gtl,5,AllPub,1,624,624,58,1948,1950,0,1948,0,6956,312,3,0,0,174750.9884
1291,1338,Pave,6,2,528,Gtl,7,AllPub,2,846,832,91,1915,1950,0,1974,0,7822,492,3,0,0,177560.2021
1292,1669,Pave,4,1,288,Gtl,9,AllPub,1,1093,1093,82,1924,1950,0,1924,0,8707,576,4,0,1,192577.7961
1293,1482,Pave,4,2,609,Gtl,6,AllPub,2,1482,954,52,1954,1968,1,1956,60,16012,0,3,691,0,199202.899
1294,1414,Pave,4,0,0,Gtl,8,AllPub,1,964,864,84,1922,1950,1,1979,0,8248,0,3,0,0,182818.1567
1295,498,Pave,2,1,216,Gtl,3,AllPub,1,498,498,84,1922,1955,0,1922,0,8088,0,1,0,0,148217.2625
1296,1273,Pave,4,1,275,Mod,5,AllPub,1,1055,616,96,1910,1993,0,1910,0,11388,218,3,0,0,188997.7971
1297,1551,Pave,5,1,240,Gtl,6,AllPub,2,1058,1058,68,1938,1950,0,1938,0,10890,493,3,930,0,185807.9289
1298,1340,Pave,6,1,440,Gtl,6,AllPub,1,816,780,61,1945,1950,0,1945,0,6430,524,3,780,0,177030.4778
1299,1479,Pave,7,1,312,Gtl,6,AllPub,1,743,,80,1926,1997,2,1926,0,7000,736,3,424,0,175942.4746
1300,1510,Pave,6,1,216,Gtl,6,AllPub,1,755,755,86,1920,1950,0,1920,0,4899,755,3,305,0,172912.5186
1301,1636,Pave,7,1,288,Gtl,7,AllPub,1,818,818,87,1919,1950,1,1919,0,9399,818,4,0,1,198359.2489
1302,1465,Pave,5,1,240,Gtl,6,AllPub,2,992,992,67,1939,1950,2,1939,0,10164,473,3,646,0,184379.133
1303,1288,Pave,5,1,240,Gtl,6,AllPub,1,824,824,65,1941,1950,0,1941,0,6191,464,4,384,0,194255.5669
1304,1550,Pave,6,1,318,Gtl,7,AllPub,1,940,817,86,1920,1950,1,1937,0,21780,610,3,0,1,209449.6516
1305,1717,Pave,5,1,410,Mod,7,AllPub,1,1125,901,66,1940,1950,1,1940,0,12400,592,2,602,1,169979.324
1306,1671,Pave,7,2,451,Gtl,7,AllPub,2,1122,1022,77,1929,1950,1,1963,270,8170,549,4,526,0,188206.2819
1307,1609,Pave,7,3,579,Gtl,8,AllPub,1,959,637,74,1932,1990,2,1963,0,12320,650,3,0,1,186412.4386
1308,1801,Pave,6,2,365,Gtl,8,AllPub,1,1104,697,76,1930,1959,1,1930,0,14210,697,3,0,1,196761.3864
1309,2315,Pave,5,1,342,Gtl,9,AllPub,2,1278,1168,56,1950,1963,3,1950,405,15600,1037,4,760,0,208353.2696
1310,976,Pave,5,1,215,Gtl,5,AllPub,1,976,976,64,1942,1950,0,1942,0,7288,0,2,305,0,166548.0672
1311,1285,Pave,6,2,506,Gtl,6,AllPub,1,861,861,80,1926,1950,0,1950,0,7000,424,3,374,0,175942.4746
1312,672,Pave,4,0,0,Gtl,4,AllPub,1,672,432,81,1925,1950,0,1979,0,8534,0,2,0,0,166790.4579
1313,641,Pave,4,1,272,Gtl,4,AllPub,1,641,641,81,1925,1950,0,1925,0,7030,0,2,0,0,160515.8506
1314,1638,Pave,6,1,384,Gtl,6,AllPub,2,967,967,49,1957,1957,0,1957,327,9060,671,4,0,0,192167.6211
1315,729,Pave,3,0,0,Gtl,5,AllPub,1,729,0,61,1945,1950,0,1979,0,12366,0,2,0,0,178751.5511
1316,1396,Pave,5,0,0,Gtl,8,AllPub,2,1060,660,55,1951,1951,0,1979,0,9000,336,4,0,0,198678.8941
1317,936,Grvl,3,0,0,Gtl,6,AllPub,1,576,216,90,1916,1950,0,1979,0,8520,360,2,0,0,164553.1203
1318,1778,Pave,8,2,495,Mod,5,AllPub,2,1778,1573,1,2005,2006,1,2005,473,5748,0,2,1573,0,156887.9329
1319,1646,Pave,8,2,525,Mod,5,AllPub,2,1646,1594,2,2004,2005,1,2004,186,3842,0,2,1564,0,164185.7773
1320,1625,Pave,6,2,576,Mod,6,AllPub,2,1625,1625,27,1979,1979,1,1979,0,23580,0,3,776,0,212992.1206
1321,1664,Pave,6,2,616,Gtl,10,AllPub,2,1664,1664,28,1978,1978,0,1978,0,8385,0,4,0,0,197468.5505
1322,1491,Pave,8,2,490,Gtl,7,AllPub,2,1491,1491,5,2001,2001,0,2001,0,9116,0,3,0,0,180106.8437
1323,1210,Pave,6,2,528,Gtl,6,AllPub,2,1210,1128,31,1975,1975,0,1975,257,11080,0,3,576,0,183972.0711
1324,1650,Pave,6,2,518,Mod,6,AllPub,1,1650,1632,48,1958,1958,2,1958,0,50102,0,2,909,0,245283.1983
1325,1403,Pave,6,2,470,Gtl,5,AllPub,2,1403,1381,6,2000,2000,0,2000,0,8098,0,2,1136,0,170351.9634
1326,1960,Pave,8,3,714,Gtl,8,AllPub,2,1960,1728,1,2005,2006,2,2005,198,13618,0,3,1350,0,195596.3077
1327,1838,Pave,9,3,682,Gtl,9,AllPub,2,1838,1838,1,2005,2006,1,2005,382,11577,0,3,1455,0,189369.7563
1328,1600,Pave,1,1,270,Gtl,6,AllPub,1,1600,0,55,1951,1951,0,1951,0,31250,0,3,0,1,223667.4046
1329,1368,Pave,7,4,784,Gtl,8,AllPub,2,1368,1288,9,1997,1997,0,1997,200,7020,0,2,1243,0,169335.3106
1330,1304,Pave,5,1,336,Gtl,5,AllPub,1,616,264,29,1977,1977,1,1977,0,2665,688,3,0,1,167411.0284
1331,874,Pave,5,1,288,Gtl,5,AllPub,1,874,864,38,1968,2003,0,1968,0,10172,0,3,441,0,187709.555
1332,1652,Pave,5,3,928,Gtl,8,AllPub,2,1652,1652,36,1970,1970,0,1970,0,11836,0,4,149,0,196526.003
1333,630,Pave,4,0,0,Gtl,3,AllPub,1,630,630,36,1970,1970,0,1979,0,1470,0,1,522,0,137402.5699
1334,1092,Pave,4,1,253,Gtl,5,AllPub,1,546,546,34,1972,1972,0,1972,0,1484,546,3,252,1,165086.7751
1335,1360,Pave,5,1,336,Mod,8,AllPub,1,1360,1104,37,1969,1979,1,1969,194,13384,0,3,119,0,188506.4314
1336,1092,Pave,4,1,286,Gtl,5,AllPub,1,546,546,36,1970,1970,0,1970,0,1533,546,3,408,1,172917.4568
1337,1092,Pave,4,0,0,Gtl,5,AllPub,1,,,36,1970,1970,0,1979,0,1526,546,3,0,1,166274.3252
1338,1092,Pave,4,0,0,Gtl,5,AllPub,1,,,36,1970,1970,0,1979,0,1936,546,3,0,1,167081.2209
1339,1092,Pave,4,1,286,Gtl,6,AllPub,1,546,546,36,1970,1970,0,1970,0,1894,546,3,252,1,164788.7782
1340,1224,Pave,5,2,576,Gtl,7,AllPub,1,1224,1224,46,1960,1996,1,1960,0,20000,0,4,1224,0,219222.4234
1341,970,Pave,5,0,0,Gtl,6,AllPub,1,970,912,14,1992,1992,0,1979,0,10441,0,3,337,0,184924.2797
1342,2000,Pave,7,3,650,Mod,9,AllPub,2,996,,13,1993,1994,1,1993,94,9627,1004,3,758,1,187741.8667
